UZ_Tau   (68.17949132051615,25.875138379860562)   (68.17949774112309,25.875131220788745)   (68.17950121496051,25.87516913475274)   (68.179550280054,25.875193826239734)   
DL_Tau   (68.41294745153684,25.34384438747446)   (68.41294752782161,25.34384320684382)   (68.41294651031751,25.343855121137594)   (68.41285045303101,25.343798306828127)   
GK_Tau   (68.39116394560911,24.353890301099778)   (68.39111048687131,24.353904207188833)   (68.39142642000847,24.353864053707206)   (0.0,0.0)
AA_Tau   (68.73103600482567,24.481341758588773)   (68.73095832074154,24.481270619115257)   (68.7310247869415,24.48126038792316)   (68.73097627351306,24.481276610410358)   
LkCa_15   (69.82419775822675,22.350815359005406)   (69.82418917905733,22.350830552692187)   (69.8241765538725,22.350844578999467)   (69.82422865545814,22.350829233216825)   
CI_Tau   (68.46677163751708,22.84158836300461)   (68.46676128231732,22.841591492702364)   (68.46678574089715,22.841617674617705)   (68.4667891246202,22.84159526043667)   
04278+2253   (67.70959980787102,23.002303768383015)   (67.70970810413408,23.00225295670549)   (0.0,0.0)   (67.71731725054931,22.99431122678319)   
T_Tau   (65.4977741011478,19.535060400011847)   (65.49776158338038,19.535055856485027)   (65.4977858909892,19.535080846591395)   (65.49779355070108,19.53502972283761)   
UX_Tau   (67.51678571522821,18.23035699745404)   (67.51670495925345,18.230335494625148)   (67.51680810811823,18.230333420751307)   (67.51663084905435,18.230354415785506)   
V710_Tau   (67.99091154592217,18.360473633236182)   (67.99088548784879,18.360436232899556)   (67.9908543040815,18.36046110798825)   (67.99096807914316,18.360437955669784)   
DM_Tau   (68.45320368234792,18.16935540017046)   (68.45312004911989,18.16928346073954)   (68.45311268756122,18.16929280564726)   (68.45309702984649,18.169344505405125)   
DQ_Tau   (71.72114873759817,16.99998982183529)   (71.72115812616512,17.000000353386778)   (71.72105948979909,16.999965740329003)   (71.72117598099527,16.99996024100862)   
Haro_6-37   (71.74621237042793,17.044330692593054)   (71.74628564591947,17.044365829139068)   (71.74619566186394,17.04435091649003)   (71.74622626631123,17.044311581985895)   
DR_Tau   (71.77593218290886,16.9784693088022)   (71.77592732299564,16.97847533758885)   (71.77592614546171,16.978473633236483)   (71.77593638707235,16.978481928757233)   
FY_Tau   (68.1274245893823,24.332357883887678)   (68.13567402473267,24.325003999932502)   (68.12752887225417,24.332444438667387)   (68.13567402473267,24.325003999932502)   
HO_Tau   (68.83426592275015,22.53732072840029)   (68.83434260669411,22.537289468359308)   (68.83426444404925,22.53739481457496)   (68.84237677567722,22.529802851602682)   
DN_Tau   (68.86410729837684,24.249569488663667)   (68.8641756930342,24.249636884526314)   (68.86409863114314,24.249587259752357)   (68.86415588973178,24.249641228605547)   
DO_Tau   (69.61924486202587,26.180333632319098)   (69.61915129614309,26.180290831084015)   (69.61914505402312,26.180305809774147)   (69.61917610239503,26.180296113253096)   
HV_Tau   (69.64618042324796,26.17649140578391)   (69.64623060666828,26.17655041515241)   (69.64614885130369,26.17648819990855)   (69.64618276304833,26.176444825470213)   
IC_2087_IR   (69.98230685339017,25.750418008258137)   (69.98231261979504,25.750412798152674)   (69.98229659260107,25.750445570387907)   (69.98230562275003,25.75044825664201)   
CIDA-7   (0.0,0.0)   (70.58766448302914,25.342701922809802)   (70.58761103282086,25.34277447596305)   (70.59583420646595,25.335344104856233)   
GO_Tau   (70.76282888344969,25.338424546061248)   (70.7628297743007,25.33840630191704)   (70.7627122642023,25.338406113465116)   (70.76271670069796,25.338389955770253)   
DS_Tau   (71.95250527353335,29.4196583861863)   (71.95246557256007,29.419690814781553)   (71.95252182408808,29.419630885324445)   (71.95233617968374,29.419673541379883)   
UY_Aur   (72.94751066961575,30.786940502515417)   (72.94750426901983,30.786950159204007)   (72.95629170756709,30.77948217400637)   (72.95629170120657,30.779412729558906)   
Haro_6-39   (73.04056110793526,30.62913238992607)   (0.0,0.0)   (73.04057783507004,30.62924499043668)   (73.04055649251812,30.629195710261925)   
GM_Aur   (73.7958860910344,30.366414519177233)   (73.79589947349245,30.366423780171207)   (73.79588381184679,30.36641308323237)   (73.79579380014631,30.36633790701138)   
AB_Aur   (73.94115758561749,30.551160139956902)   (73.94113522317012,30.551173680915134)   (73.94125142123026,30.551275971975354)   (73.94124352203534,30.551199193100356)   
SU_Aur   (73.9974752817122,30.566875995524633)   (74.00625667373336,30.559544371049064)   (74.00577289825631,30.560724958269233)   (74.00617602141088,30.559474931994927)   
RW_Aur   (76.95595421283004,30.400796560574356)   (76.9558333101938,30.400778238757628)   (76.95602249231214,30.4009317514733)   (76.95600745876885,30.400695782231622)   
CIDA-9   (76.34511418288938,25.525136513845542)   (76.34505975095426,25.525075938958853)   (76.3534031857806,25.517647820908028)   (76.3534031857806,25.517647820908028)   
